PipeID,Material,Age,Length,Diameter,Condition,CoF_Value
P1543,GI,96,433.9023649,2,1,1
P1545,GI,76,29.97992281,2,1,1
P1547,GI,76,295.0592761,2,1,1
P1549,GI,26,207.2291682,2,2,1
P1551,GI,76,18.51216142,2,1,1
P1553,GI,96,147.9506559,2,1,1
P1555,DI,96,16.65931746,6,1,2
P1557,DI,96,718.3100878,6,1,2
P1559,DI,96,46.0072856,6,1,2
P1561,DI,76,13.10681107,6,1,2
P_INTERCONNECTION,PVC,46,579,6,1,2
P2337,PVC,26,100,6,2,3
